subclass_id_label,AllenRegionRate,AllenRegionRateTop3,MajorRegionRate,MajorRegionRateTop3
142 HY Gnrh1 Glut,HY:0.457446808510638;CNU:0.340425531914894;HY LZ:0.170212765957447;OLF:0.0106382978723404;PL-ILA-ORB:0.0106382978723404;TH:0.0106382978723404,HY:0.457446808510638;CNU:0.340425531914894;HY LZ:0.170212765957447,HY:0.627659574468085;CNU:0.340425531914894;Isocortex:0.0106382978723404;OLF:0.0106382978723404;TH:0.0106382978723404,HY:0.627659574468085;CNU:0.340425531914894;Isocortex:0.0106382978723404
143 MM-ant Foxb1 Glut,HY:0.996868149076104;STR:0.00250548073911682;HY LZ:0.000626370184779205,HY:0.996868149076104;STR:0.00250548073911682;HY LZ:0.000626370184779205,HY:0.997494519260883;STR:0.00250548073911682,HY:0.997494519260883;STR:0.00250548073911682;
144 MM Foxb1 Glut,HY:0.998441327098642;STR:0.00155867290135827,HY:0.998441327098642;STR:0.00155867290135827;,HY:0.998441327098642;STR:0.00155867290135827,HY:0.998441327098642;STR:0.00155867290135827;
145 MH Tac2 Glut,TH:0.993968636911942;MB:0.00482509047044632;HY LZ:0.000904704463208685;HIP:0.000301568154402895,TH:0.993968636911942;MB:0.00482509047044632;HY LZ:0.000904704463208685,TH:0.993968636911942;MB:0.00482509047044632;HY:0.000904704463208685;HPF:0.000301568154402895,TH:0.993968636911942;MB:0.00482509047044632;HY:0.000904704463208685
146 LH Pou4f1 Sox1 Glut,TH:0.993492407809111;MB:0.00650759219088937,TH:0.993492407809111;MB:0.00650759219088937;,TH:0.993492407809111;MB:0.00650759219088937,TH:0.993492407809111;MB:0.00650759219088937;
147 AD Serpinb7 Glut,TH:0.995238095238095;CNU:0.00476190476190476,TH:0.995238095238095;CNU:0.00476190476190476;,TH:0.995238095238095;CNU:0.00476190476190476,TH:0.995238095238095;CNU:0.00476190476190476;
148 AV Col27a1 Glut,TH:0.968300205620288;CNU:0.0311857436600411;HY LZ:0.000514050719671008,TH:0.968300205620288;CNU:0.0311857436600411;HY LZ:0.000514050719671008,TH:0.968300205620288;CNU:0.0311857436600411;HY:0.000514050719671008,TH:0.968300205620288;CNU:0.0311857436600411;HY:0.000514050719671008
149 PVT-PT Ntrk1 Glut,TH:0.948734909872664;HY:0.0497767488010584;HY LZ:0.000826856292376385;MB:0.000661485033901108,TH:0.948734909872664;HY:0.0497767488010584;HY LZ:0.000826856292376385,TH:0.948734909872664;HY:0.0506036050934348;MB:0.000661485033901108,TH:0.948734909872664;HY:0.0506036050934348;MB:0.000661485033901108
150 CM-IAD-CL-PCN Sema5b Glut,TH:0.998988494120622;HY:0.000632191174611202;HY LZ:0.000379314704766721,TH:0.998988494120622;HY:0.000632191174611202;HY LZ:0.000379314704766721,TH:0.998988494120622;HY:0.00101150587937792,TH:0.998988494120622;HY:0.00101150587937792;
151 TH Prkcd Grin2c Glut,TH:0.998371335504886;HY LZ:0.000697999069334574;MB:0.000651465798045603;CNU:0.000116333178222429;HY:0.000116333178222429;HIP:4.65332712889716e-05,TH:0.998371335504886;HY LZ:0.000697999069334574;MB:0.000651465798045603,TH:0.998371335504886;HY:0.000814332247557003;MB:0.000651465798045603;CNU:0.000116333178222429;HPF:4.65332712889716e-05,TH:0.998371335504886;HY:0.000814332247557003;MB:0.000651465798045603
