clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
35-2-1,691,0.88,MH_Tac2_Glut,high,0.99,MHCHOLGL1,high,0.99,MHGL,high,1,Glut;Chol,high,0.99,GLUT,high,1
35-2-2,348,0.99,MH_Tac2_Glut,high,0.98,MHCHOLGL1,high,0.98,MHGL,high,0.99,Glut;Chol,high,0.98,GLUT,high,1
35-3-1,480,0.94,MH_Tac2_Glut,high,1,MHCHOLGL1,high,0.99,MHGL,high,1,Glut;Chol,high,0.99,GLUT,high,1
35-3-2,260,0.95,MH_Tac2_Glut,high,1,MHCHOLGL1,high,0.99,MHGL,high,1,Glut;Chol,high,0.99,GLUT,high,1
35-4-1,163,0.95,LH_Pou4f1_Sox1_Glut,high,0.98,MHGL4,high,0.93,MHGL,high,0.98,Glut,high,0.99,GLUT,high,0.99
35-4-3,81,0.96,LH_Pou4f1_Sox1_Glut,high,0.96,MHGL5,high,0.96,MHGL,high,0.98,Glut,high,0.98,GLUT,high,0.98
35-4-2,103,0.88,LH_Pou4f1_Sox1_Glut,high,0.94,MHGL5,high,0.94,MHGL,high,0.99,Glut,high,0.97,GLUT,high,0.99
36-1-2,1051,0.88,L2-3_IT_ENTl-PIR_Glut,high,0.98,PIRGL2,high,0.98,ITENTPIRGL3,high,0.98,Glut,high,0.98,GLUT,high,0.99
36-1-1,1536,0.9,L2-3_IT_ENTl-PIR_Glut,high,1,PIRGL2,high,1,ITENTPIRGL3,high,1,Glut,high,1,GLUT,high,1
36-2-2,144,0.9,L2-3_IT_ENTl-PIR_Glut,high,1,PIRGL2,high,0.94,ITENTPIRGL3,high,0.94,Glut,high,1,GLUT,high,1
36-2-1,165,0.93,L2-3_IT_ENTl-PIR_Glut,high,1,PIRGL2,high,1,ITENTPIRGL3,high,1,Glut,high,1,GLUT,high,1
37-1-1,1339,0.99,Astro-TE_NN,high,0.96,ENTN1,high,0.77,LQ,high,0.8,NN,high,1,NN,high,1
37-2-1,729,0.99,Oligo_NN,high,0.99,ENTN3,high,0.8,LQ,high,0.8,NN,high,1,NN,high,1
37-3-1,602,0.95,BAM_NN,high,0.85,ENTN4,high,0.84,LQ,high,0.88,NN,high,1,NN,high,1
37-4-2,113,0.93,VLMC_NN,medium,0.41,ENTN2,low,0.39,LQ,medium,0.53,NN,medium,0.63,NN,medium,0.63
37-4-1,287,0.83,VLMC_NN,high,0.95,ENTN2,high,0.95,LQ,high,0.96,NN,high,0.96,NN,high,0.96
4-1-1,41500,0.95,L2-3_IT_CTX_Glut,high,0.99,ITL23GL1,low,0.35,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-1-3,12121,0.95,L2-3_IT_CTX_Glut,high,0.99,ITL23GL11,low,0.34,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-1-4,10322,0.96,L2-3_IT_CTX_Glut,high,0.8,ITL23GL4,medium,0.63,ITL23GL,high,0.8,Glut,high,1,GLUT,high,1
4-1-2,12705,0.96,L2-3_IT_CTX_Glut,high,0.8,ITL23GL3,high,0.73,ITL23GL,high,0.8,Glut,high,1,GLUT,high,1
4-1-5,787,0.91,L6_CT_CTX_Glut,medium,0.6,CTGL9,medium,0.6,CTL6GL,medium,0.6,Glut,high,1,GLUT,high,1
4-2-2,8469,0.95,L2-3_IT_CTX_Glut,high,1,ITL23GL5,high,0.92,ITL23GL,high,1,Glut,high,1,GLUT,high,1
4-2-1,9631,0.96,L2-3_IT_CTX_Glut,high,0.98,ITL23GL2,high,0.81,ITL23GL,high,0.98,Glut,high,1,GLUT,high,1
4-3-4,3358,0.95,L2-3_IT_CTX_Glut,high,1,ITL23GL13,medium,0.68,ITL23GL,high,1,Glut,high,1,GLUT,high,1
4-3-2,3967,0.88,L2-3_IT_CTX_Glut,high,0.96,ITL23GL9,medium,0.55,ITL23GL,high,0.96,Glut,high,1,GLUT,high,1
4-3-1,4830,0.93,L2-3_IT_CTX_Glut,high,0.99,ITL23GL7,high,0.95,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-3-3,4078,0.97,L2-3_IT_CTX_Glut,high,0.99,ITL23GL7,medium,0.5,ITL23GL,high,0.99,Glut,high,1,GLUT,high,1
4-3-5,1013,0.91,L2-3_IT_CTX_Glut,high,0.98,ITL23GL7,high,0.98,ITL23GL,high,0.98,Glut,high,1,GLUT,high,1
4-4-2,6254,0.93,L2-3_IT_CTX_Glut,high,0.97,ITL23GL2,medium,0.53,ITL23GL,high,0.97,Glut,high,1,GLUT,high,1
4-4-1,8345,0.96,L2-3_IT_CTX_Glut,high,0.91,ITL23GL6,high,0.87,ITL23GL,high,0.91,Glut,high,1,GLUT,high,1
4-4-4,253,0.96,L2-3_IT_CTX_Glut,high,0.84,ITL23GL6,high,0.83,ITL23GL,high,0.84,Glut,high,1,GLUT,high,1
4-4-3,374,0.95,L2-3_IT_CTX_Glut,high,0.89,ITL23GL6,medium,0.47,ITL23GL,high,0.89,Glut,high,1,GLUT,high,1
5-1-2,13933,0.92,L4-5_IT_CTX_Glut,high,0.91,ITL5GL1,high,0.84,ITL46GL,high,0.93,Glut,high,1,GLUT,high,1
5-1-1,16392,0.96,L4-5_IT_CTX_Glut,high,0.95,ITL5GL6,medium,0.41,ITL46GL,high,0.92,Glut,high,1,GLUT,high,1
5-1-3,11347,0.95,L4-5_IT_CTX_Glut,high,0.96,ITL5GL3,medium,0.59,ITL46GL,high,0.95,Glut,high,1,GLUT,high,1
5-1-5,6653,0.89,L4-5_IT_CTX_Glut,high,0.95,ITL5GL4,high,0.91,ITL46GL,high,0.94,Glut,high,1,GLUT,high,1
5-1-4,9782,0.95,L4-5_IT_CTX_Glut,high,0.98,ITL5GL5,high,0.75,ITL46GL,high,0.86,Glut,high,1,GLUT,high,1
5-2-2,15473,0.96,L4-5_IT_CTX_Glut,high,0.99,ITL4GL2,high,0.73,ITL45GL,high,0.85,Glut,high,1,GLUT,high,1
